District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Amritsar,2022,22.50142857142857,8.452857142857143,26.15,2.74040374733591,14.048571428571426,26.72,7,0,0,26.88821428571428,11.955714285714285,35.66,3.7870774949003807,14.9325,15.94,7,2,5,38.72076923076923,19.51076923076923,42.52,2.0666318938348422,19.21,0.0,0,26,27.829116022099445,13.034033149171272,142.68
Bathinda,2010,26.466785714285713,9.886428571428572,32.76,3.2629741642902106,16.580357142857142,7.869999999999999,8,0,6,31.01321428571428,13.401785714285714,36.53,3.195051791815111,17.611428571428572,4.140000000000001,5,3,20,39.635384615384616,21.138846153846153,42.48,1.3816084272158466,18.49653846153846,0.28,1,26,29.895911602209942,13.646464088397792,30.71
Bathinda,2011,24.987857142857138,9.571071428571427,29.04,1.9533984766210934,15.416785714285714,24.0,14,0,0,26.967857142857145,10.987499999999999,36.86,4.093312845716786,15.980357142857144,15.32,13,2,6,35.753461538461536,17.240384615384617,39.3,2.0329288080160457,18.513076923076923,12.12,7,19,28.236906077348067,12.316132596685081,57.67
Bathinda,2012,24.30275862068965,6.944827586206896,28.81,2.788059868889532,17.357931034482757,1.09,7,0,0,27.978965517241377,9.939310344827586,32.81,2.456820455134741,18.03965517241379,1.0899999999999999,5,0,6,36.599230769230765,18.403846153846153,40.21,2.955105308549153,18.19538461538462,2.44,2,20,27.683131868131866,11.555494505494504,42.33
Bathinda,2013,23.62,9.28892857142857,26.47,2.140560674215987,14.331071428571425,52.669999999999995,15,0,0,27.333928571428572,11.519642857142857,32.97,3.8820759426289726,15.814285714285711,35.47,11,0,11,34.042307692307695,17.505,39.1,2.856976454494937,16.537307692307692,7.66,9,9,27.78099447513812,12.102983425414367,99.1
Bathinda,2014,23.709999999999997,7.825714285714286,27.27,2.498518079300727,15.884285714285713,10.14,13,0,0,26.512857142857147,10.35392857142857,31.76,2.519514734498391,16.158928571428568,9.09,9,0,3,33.338076923076926,16.879615384615384,38.34,2.581150161041809,16.45846153846154,16.38,13,6,27.370883977900554,11.822596685082875,69.16
Bathinda,2015,26.224285714285713,10.302142857142858,30.81,3.0994520765133915,15.922142857142857,17.509999999999998,10,0,5,26.294999999999998,11.184285714285716,30.81,3.185887282654203,15.110714285714286,68.06,18,0,4,31.919615384615383,16.741153846153846,37.06,3.0366962057726234,15.17846153846154,41.17,10,4,27.456740331491712,12.338784530386741,153.39999999999998
Bathinda,2016,26.770344827586207,9.572758620689653,33.12,3.071468335176214,17.197586206896553,6.56,6,0,7,29.92517241379311,13.600344827586209,34.38,2.276108239783825,16.324827586206894,27.640000000000004,11,0,15,34.99615384615385,18.198461538461537,40.37,3.144009003706035,16.797692307692305,2.9899999999999998,11,13,29.663076923076925,13.543186813186814,36.69
Bathinda,2017,26.089285714285715,10.163571428571428,30.39,3.063177880920194,15.925714285714283,1.72,2,0,2,27.94785714285715,12.015357142857141,30.39,1.7510533488982654,15.932500000000001,13.769999999999998,7,0,3,36.46923076923077,19.218846153846155,41.12,3.6046935215931164,17.250384615384615,7.170000000000001,4,17,28.47425414364641,12.876685082872926,94.94999999999999
Bathinda,2018,27.379285714285714,10.662499999999998,32.01,2.9390940007038813,16.716785714285713,7.840000000000001,6,0,7,31.253571428571426,14.713928571428571,36.22,2.5199444648285616,16.53964285714286,1.4000000000000004,7,3,20,36.21538461538462,18.821153846153848,39.97,3.024383878768342,17.39423076923077,7.380000000000001,7,18,29.15917127071823,12.813480662983427,30.94
